date,entity,category,metric,value,currency,unit
2023-01-01,İzmir Bayi,Buğday Tohumu,units_sold,546,,kg
2023-01-01,İzmir Bayi,Buğday Tohumu,revenue,4368,TL,
2023-01-01,İzmir Bayi,Buğday Tohumu,cogs,2527,TL,
2023-01-01,İzmir Bayi,Buğday Tohumu,gross_margin,1841,TL,
2023-01-01,İzmir Bayi,Buğday Tohumu,margin_percent,42.1,,%
2023-01-01,İzmir Bayi,Buğday Tohumu,inventory_on_hand,3039,,kg
2023-01-01,İzmir Bayi,Mısır Tohumu,units_sold,484,,kg
2023-01-01,İzmir Bayi,Mısır Tohumu,revenue,3872,TL,
2023-01-01,İzmir Bayi,Mısır Tohumu,cogs,2229,TL,
2023-01-01,İzmir Bayi,Mısır Tohumu,gross_margin,1643,TL,
2023-01-01,İzmir Bayi,Mısır Tohumu,margin_percent,42.4,,%
2023-01-01,İzmir Bayi,Mısır Tohumu,inventory_on_hand,3091,,kg
2023-01-01,İzmir Bayi,Domates Tohumu,units_sold,360,,kg
2023-01-01,İzmir Bayi,Domates Tohumu,revenue,9000,TL,
2023-01-01,İzmir Bayi,Domates Tohumu,cogs,5641,TL,
2023-01-01,İzmir Bayi,Domates Tohumu,gross_margin,3359,TL,
2023-01-01,İzmir Bayi,Domates Tohumu,margin_percent,37.3,,%
2023-01-01,İzmir Bayi,Domates Tohumu,inventory_on_hand,2920,,kg
2023-01-01,İzmir Bayi,Biber Tohumu,units_sold,544,,kg
2023-01-01,İzmir Bayi,Biber Tohumu,revenue,13600,TL,
2023-01-01,İzmir Bayi,Biber Tohumu,cogs,8706,TL,
2023-01-01,İzmir Bayi,Biber Tohumu,gross_margin,4894,TL,
2023-01-01,İzmir Bayi,Biber Tohumu,margin_percent,36,,%
2023-01-01,İzmir Bayi,Biber Tohumu,inventory_on_hand,2861,,kg
2023-01-01,İzmir Bayi,Salatalık Tohumu,units_sold,526,,kg
2023-01-01,İzmir Bayi,Salatalık Tohumu,revenue,7890,TL,
2023-01-01,İzmir Bayi,Salatalık Tohumu,cogs,4892,TL,
2023-01-01,İzmir Bayi,Salatalık Tohumu,gross_margin,2998,TL,
2023-01-01,İzmir Bayi,Salatalık Tohumu,margin_percent,38,,%
2023-01-01,İzmir Bayi,Salatalık Tohumu,inventory_on_hand,2884,,kg
2023-01-01,İzmir Bayi,Patlıcan Tohumu,units_sold,345,,kg
2023-01-01,İzmir Bayi,Patlıcan Tohumu,revenue,5175,TL,
2023-01-01,İzmir Bayi,Patlıcan Tohumu,cogs,3144,TL,
2023-01-01,İzmir Bayi,Patlıcan Tohumu,gross_margin,2031,TL,
2023-01-01,İzmir Bayi,Patlıcan Tohumu,margin_percent,39.3,,%
2023-01-01,İzmir Bayi,Patlıcan Tohumu,inventory_on_hand,2903,,kg
2023-01-01,Adana Bayi,Buğday Tohumu,units_sold,429,,kg
2023-01-01,Adana Bayi,Buğday Tohumu,revenue,3432,TL,
2023-01-01,Adana Bayi,Buğday Tohumu,cogs,1995,TL,
2023-01-01,Adana Bayi,Buğday Tohumu,gross_margin,1437,TL,
2023-01-01,Adana Bayi,Buğday Tohumu,margin_percent,41.9,,%
2023-01-01,Adana Bayi,Buğday Tohumu,inventory_on_hand,2851,,kg
2023-01-01,Adana Bayi,Mısır Tohumu,units_sold,335,,kg
2023-01-01,Adana Bayi,Mısır Tohumu,revenue,2680,TL,
2023-01-01,Adana Bayi,Mısır Tohumu,cogs,1694,TL,
2023-01-01,Adana Bayi,Mısır Tohumu,gross_margin,986,TL,
2023-01-01,Adana Bayi,Mısır Tohumu,margin_percent,36.8,,%
2023-01-01,Adana Bayi,Mısır Tohumu,inventory_on_hand,2990,,kg
2023-01-01,Adana Bayi,Domates Tohumu,units_sold,510,,kg
2023-01-01,Adana Bayi,Domates Tohumu,revenue,12750,TL,
2023-01-01,Adana Bayi,Domates Tohumu,cogs,7124,TL,
2023-01-01,Adana Bayi,Domates Tohumu,gross_margin,5626,TL,
2023-01-01,Adana Bayi,Domates Tohumu,margin_percent,44.1,,%
2023-01-01,Adana Bayi,Domates Tohumu,inventory_on_hand,2996,,kg
2023-01-01,Adana Bayi,Biber Tohumu,units_sold,540,,kg
2023-01-01,Adana Bayi,Biber Tohumu,revenue,13500,TL,
2023-01-01,Adana Bayi,Biber Tohumu,cogs,8720,TL,
2023-01-01,Adana Bayi,Biber Tohumu,gross_margin,4780,TL,
2023-01-01,Adana Bayi,Biber Tohumu,margin_percent,35.4,,%
2023-01-01,Adana Bayi,Biber Tohumu,inventory_on_hand,2893,,kg
2023-01-01,Adana Bayi,Salatalık Tohumu,units_sold,382,,kg
2023-01-01,Adana Bayi,Salatalık Tohumu,revenue,5730,TL,
2023-01-01,Adana Bayi,Salatalık Tohumu,cogs,3218,TL,
2023-01-01,Adana Bayi,Salatalık Tohumu,gross_margin,2512,TL,
2023-01-01,Adana Bayi,Salatalık Tohumu,margin_percent,43.8,,%
2023-01-01,Adana Bayi,Salatalık Tohumu,inventory_on_hand,3078,,kg
2023-01-01,Adana Bayi,Patlıcan Tohumu,units_sold,472,,kg
2023-01-01,Adana Bayi,Patlıcan Tohumu,revenue,7080,TL,
2023-01-01,Adana Bayi,Patlıcan Tohumu,cogs,4030,TL,
2023-01-01,Adana Bayi,Patlıcan Tohumu,gross_margin,3050,TL,
2023-01-01,Adana Bayi,Patlıcan Tohumu,margin_percent,43.1,,%
2023-01-01,Adana Bayi,Patlıcan Tohumu,inventory_on_hand,2872,,kg
2023-01-01,Konya Bayi,Buğday Tohumu,units_sold,452,,kg
2023-01-01,Konya Bayi,Buğday Tohumu,revenue,3616,TL,
2023-01-01,Konya Bayi,Buğday Tohumu,cogs,2301,TL,
2023-01-01,Konya Bayi,Buğday Tohumu,gross_margin,1315,TL,
2023-01-01,Konya Bayi,Buğday Tohumu,margin_percent,36.4,,%
2023-01-01,Konya Bayi,Buğday Tohumu,inventory_on_hand,2919,,kg
2023-01-01,Konya Bayi,Mısır Tohumu,units_sold,502,,kg
2023-01-01,Konya Bayi,Mısır Tohumu,revenue,4016,TL,
2023-01-01,Konya Bayi,Mısır Tohumu,cogs,2568,TL,
2023-01-01,Konya Bayi,Mısır Tohumu,gross_margin,1448,TL,
2023-01-01,Konya Bayi,Mısır Tohumu,margin_percent,36.1,,%
2023-01-01,Konya Bayi,Mısır Tohumu,inventory_on_hand,3008,,kg
2023-01-01,Konya Bayi,Domates Tohumu,units_sold,412,,kg
2023-01-01,Konya Bayi,Domates Tohumu,revenue,10300,TL,
2023-01-01,Konya Bayi,Domates Tohumu,cogs,5794,TL,
2023-01-01,Konya Bayi,Domates Tohumu,gross_margin,4506,TL,
2023-01-01,Konya Bayi,Domates Tohumu,margin_percent,43.7,,%
2023-01-01,Konya Bayi,Domates Tohumu,inventory_on_hand,3027,,kg
2023-01-01,Konya Bayi,Biber Tohumu,units_sold,408,,kg
2023-01-01,Konya Bayi,Biber Tohumu,revenue,10200,TL,
2023-01-01,Konya Bayi,Biber Tohumu,cogs,6456,TL,
2023-01-01,Konya Bayi,Biber Tohumu,gross_margin,3744,TL,
2023-01-01,Konya Bayi,Biber Tohumu,margin_percent,36.7,,%
2023-01-01,Konya Bayi,Biber Tohumu,inventory_on_hand,3032,,kg
2023-01-01,Konya Bayi,Salatalık Tohumu,units_sold,406,,kg
2023-01-01,Konya Bayi,Salatalık Tohumu,revenue,6090,TL,
2023-01-01,Konya Bayi,Salatalık Tohumu,cogs,3424,TL,
2023-01-01,Konya Bayi,Salatalık Tohumu,gross_margin,2666,TL,
2023-01-01,Konya Bayi,Salatalık Tohumu,margin_percent,43.8,,%
2023-01-01,Konya Bayi,Salatalık Tohumu,inventory_on_hand,2971,,kg
2023-01-01,Konya Bayi,Patlıcan Tohumu,units_sold,420,,kg
2023-01-01,Konya Bayi,Patlıcan Tohumu,revenue,6300,TL,
2023-01-01,Konya Bayi,Patlıcan Tohumu,cogs,3762,TL,
2023-01-01,Konya Bayi,Patlıcan Tohumu,gross_margin,2538,TL,
2023-01-01,Konya Bayi,Patlıcan Tohumu,margin_percent,40.3,,%
2023-01-01,Konya Bayi,Patlıcan Tohumu,inventory_on_hand,3022,,kg
2023-01-01,Bursa Bayi,Buğday Tohumu,units_sold,405,,kg
2023-01-01,Bursa Bayi,Buğday Tohumu,revenue,3240,TL,
2023-01-01,Bursa Bayi,Buğday Tohumu,cogs,1950,TL,
2023-01-01,Bursa Bayi,Buğday Tohumu,gross_margin,1290,TL,
2023-01-01,Bursa Bayi,Buğday Tohumu,margin_percent,39.8,,%
2023-01-01,Bursa Bayi,Buğday Tohumu,inventory_on_hand,2954,,kg
2023-01-01,Bursa Bayi,Mısır Tohumu,units_sold,317,,kg
2023-01-01,Bursa Bayi,Mısır Tohumu,revenue,2536,TL,
2023-01-01,Bursa Bayi,Mısır Tohumu,cogs,1398,TL,
2023-01-01,Bursa Bayi,Mısır Tohumu,gross_margin,1138,TL,
2023-01-01,Bursa Bayi,Mısır Tohumu,margin_percent,44.9,,%
