date,entity,category,metric,value,currency,unit
2023-01-01,Sera-1,Domates Fidanı,planted,3611,,adet
2023-01-01,Sera-1,Domates Fidanı,germinated,2832,,adet
2023-01-01,Sera-1,Domates Fidanı,germination_rate,78.4,,%
2023-01-01,Sera-1,Domates Fidanı,loss_rate,8.9,,%
2023-01-01,Sera-1,Domates Fidanı,ready_seedlings,2580,,adet
2023-01-01,Sera-1,Domates Fidanı,days_to_ready,26,,gün
2023-01-01,Sera-1,Domates Fidanı,cost_per_seedling,0.88,TL,
2023-01-01,Sera-1,Domates Fidanı,total_cost,2277,TL,
2023-01-01,Sera-1,Biber Fidanı,planted,4671,,adet
2023-01-01,Sera-1,Biber Fidanı,germinated,3929,,adet
2023-01-01,Sera-1,Biber Fidanı,germination_rate,84.1,,%
2023-01-01,Sera-1,Biber Fidanı,loss_rate,7.7,,%
2023-01-01,Sera-1,Biber Fidanı,ready_seedlings,3625,,adet
2023-01-01,Sera-1,Biber Fidanı,days_to_ready,29,,gün
2023-01-01,Sera-1,Biber Fidanı,cost_per_seedling,1.09,TL,
2023-01-01,Sera-1,Biber Fidanı,total_cost,3961,TL,
2023-01-01,Sera-1,Patlıcan Fidanı,planted,4541,,adet
2023-01-01,Sera-1,Patlıcan Fidanı,germinated,3747,,adet
2023-01-01,Sera-1,Patlıcan Fidanı,germination_rate,82.5,,%
2023-01-01,Sera-1,Patlıcan Fidanı,loss_rate,8,,%
2023-01-01,Sera-1,Patlıcan Fidanı,ready_seedlings,3445,,adet
2023-01-01,Sera-1,Patlıcan Fidanı,days_to_ready,35,,gün
2023-01-01,Sera-1,Patlıcan Fidanı,cost_per_seedling,0.91,TL,
2023-01-01,Sera-1,Patlıcan Fidanı,total_cost,3143,TL,
2023-01-01,Sera-1,Hıyar Fidanı,planted,4842,,adet
2023-01-01,Sera-1,Hıyar Fidanı,germinated,4334,,adet
2023-01-01,Sera-1,Hıyar Fidanı,germination_rate,89.5,,%
2023-01-01,Sera-1,Hıyar Fidanı,loss_rate,5.7,,%
2023-01-01,Sera-1,Hıyar Fidanı,ready_seedlings,4085,,adet
2023-01-01,Sera-1,Hıyar Fidanı,days_to_ready,31,,gün
2023-01-01,Sera-1,Hıyar Fidanı,cost_per_seedling,0.94,TL,
2023-01-01,Sera-1,Hıyar Fidanı,total_cost,3853,TL,
2023-01-01,Sera-1,Kabak Fidanı,planted,4761,,adet
2023-01-01,Sera-1,Kabak Fidanı,germinated,3875,,adet
2023-01-01,Sera-1,Kabak Fidanı,germination_rate,81.4,,%
2023-01-01,Sera-1,Kabak Fidanı,loss_rate,12.6,,%
