date,entity,category,metric,value,currency,unit
2023-01-01,Parsel-A,Domates,yield_kg,4903,,kg
2023-01-01,Parsel-A,Domates,irrigation_m3,385,,m3
2023-01-01,Parsel-A,Domates,fertilizer_kg,74,,kg
2023-01-01,Parsel-A,Domates,weather_index,60,,index
2023-01-01,Parsel-A,Domates,yield_per_m3,12.74,,kg/m3
2023-01-01,Parsel-A,Biber,yield_kg,4889,,kg
2023-01-01,Parsel-A,Biber,irrigation_m3,281,,m3
2023-01-01,Parsel-A,Biber,fertilizer_kg,63,,kg
2023-01-01,Parsel-A,Biber,weather_index,85,,index
2023-01-01,Parsel-A,Biber,yield_per_m3,17.4,,kg/m3
2023-01-01,Parsel-A,Patlıcan,yield_kg,4255,,kg
2023-01-01,Parsel-A,Patlıcan,irrigation_m3,261,,m3
2023-01-01,Parsel-A,Patlıcan,fertilizer_kg,79,,kg
2023-01-01,Parsel-A,Patlıcan,weather_index,89,,index
2023-01-01,Parsel-A,Patlıcan,yield_per_m3,16.3,,kg/m3
2023-01-01,Parsel-A,Hıyar,yield_kg,5389,,kg
2023-01-01,Parsel-A,Hıyar,irrigation_m3,361,,m3
2023-01-01,Parsel-A,Hıyar,fertilizer_kg,68,,kg
2023-01-01,Parsel-A,Hıyar,weather_index,75,,index
2023-01-01,Parsel-A,Hıyar,yield_per_m3,14.93,,kg/m3
2023-01-01,Parsel-A,Mısır,yield_kg,6605,,kg
2023-01-01,Parsel-A,Mısır,irrigation_m3,381,,m3
2023-01-01,Parsel-A,Mısır,fertilizer_kg,75,,kg
2023-01-01,Parsel-A,Mısır,weather_index,74,,index
2023-01-01,Parsel-A,Mısır,yield_per_m3,17.34,,kg/m3
2023-01-01,Parsel-B,Domates,yield_kg,5010,,kg
2023-01-01,Parsel-B,Domates,irrigation_m3,306,,m3
2023-01-01,Parsel-B,Domates,fertilizer_kg,76,,kg
2023-01-01,Parsel-B,Domates,weather_index,94,,index
2023-01-01,Parsel-B,Domates,yield_per_m3,16.37,,kg/m3
2023-01-01,Parsel-B,Biber,yield_kg,4784,,kg
2023-01-01,Parsel-B,Biber,irrigation_m3,378,,m3
2023-01-01,Parsel-B,Biber,fertilizer_kg,56,,kg
2023-01-01,Parsel-B,Biber,weather_index,73,,index
2023-01-01,Parsel-B,Biber,yield_per_m3,12.66,,kg/m3
2023-01-01,Parsel-B,Patlıcan,yield_kg,4502,,kg
2023-01-01,Parsel-B,Patlıcan,irrigation_m3,254,,m3
2023-01-01,Parsel-B,Patlıcan,fertilizer_kg,63,,kg
2023-01-01,Parsel-B,Patlıcan,weather_index,70,,index
2023-01-01,Parsel-B,Patlıcan,yield_per_m3,17.72,,kg/m3
2023-01-01,Parsel-B,Hıyar,yield_kg,4591,,kg
2023-01-01,Parsel-B,Hıyar,irrigation_m3,371,,m3
2023-01-01,Parsel-B,Hıyar,fertilizer_kg,79,,kg
2023-01-01,Parsel-B,Hıyar,weather_index,87,,index
2023-01-01,Parsel-B,Hıyar,yield_per_m3,12.37,,kg/m3
2023-01-01,Parsel-B,Mısır,yield_kg,7366,,kg
2023-01-01,Parsel-B,Mısır,irrigation_m3,342,,m3
2023-01-01,Parsel-B,Mısır,fertilizer_kg,76,,kg
2023-01-01,Parsel-B,Mısır,weather_index,84,,index
2023-01-01,Parsel-B,Mısır,yield_per_m3,21.54,,kg/m3
2023-01-01,Parsel-C,Domates,yield_kg,5125,,kg
2023-01-01,Parsel-C,Domates,irrigation_m3,334,,m3
2023-01-01,Parsel-C,Domates,fertilizer_kg,61,,kg
2023-01-01,Parsel-C,Domates,weather_index,92,,index
2023-01-01,Parsel-C,Domates,yield_per_m3,15.34,,kg/m3
2023-01-01,Parsel-C,Biber,yield_kg,4410,,kg
2023-01-01,Parsel-C,Biber,irrigation_m3,318,,m3
2023-01-01,Parsel-C,Biber,fertilizer_kg,71,,kg
2023-01-01,Parsel-C,Biber,weather_index,90,,index
2023-01-01,Parsel-C,Biber,yield_per_m3,13.87,,kg/m3
2023-01-01,Parsel-C,Patlıcan,yield_kg,4686,,kg
2023-01-01,Parsel-C,Patlıcan,irrigation_m3,376,,m3
2023-01-01,Parsel-C,Patlıcan,fertilizer_kg,68,,kg
2023-01-01,Parsel-C,Patlıcan,weather_index,66,,index
2023-01-01,Parsel-C,Patlıcan,yield_per_m3,12.46,,kg/m3
2023-01-01,Parsel-C,Hıyar,yield_kg,4940,,kg
2023-01-01,Parsel-C,Hıyar,irrigation_m3,359,,m3
2023-01-01,Parsel-C,Hıyar,fertilizer_kg,69,,kg
2023-01-01,Parsel-C,Hıyar,weather_index,75,,index
2023-01-01,Parsel-C,Hıyar,yield_per_m3,13.76,,kg/m3
2023-01-01,Parsel-C,Mısır,yield_kg,7583,,kg
2023-01-01,Parsel-C,Mısır,irrigation_m3,259,,m3
2023-01-01,Parsel-C,Mısır,fertilizer_kg,68,,kg
2023-01-01,Parsel-C,Mısır,weather_index,91,,index
2023-01-01,Parsel-C,Mısır,yield_per_m3,29.28,,kg/m3
2023-01-01,Parsel-D,Domates,yield_kg,5284,,kg
2023-01-01,Parsel-D,Domates,irrigation_m3,303,,m3
2023-01-01,Parsel-D,Domates,fertilizer_kg,68,,kg
2023-01-01,Parsel-D,Domates,weather_index,60,,index
2023-01-01,Parsel-D,Domates,yield_per_m3,17.44,,kg/m3
2023-01-01,Parsel-D,Biber,yield_kg,5190,,kg
2023-01-01,Parsel-D,Biber,irrigation_m3,303,,m3
2023-01-01,Parsel-D,Biber,fertilizer_kg,62,,kg
2023-01-01,Parsel-D,Biber,weather_index,93,,index
2023-01-01,Parsel-D,Biber,yield_per_m3,17.13,,kg/m3
2023-01-01,Parsel-D,Patlıcan,yield_kg,4641,,kg
2023-01-01,Parsel-D,Patlıcan,irrigation_m3,372,,m3
2023-01-01,Parsel-D,Patlıcan,fertilizer_kg,76,,kg
2023-01-01,Parsel-D,Patlıcan,weather_index,92,,index
2023-01-01,Parsel-D,Patlıcan,yield_per_m3,12.48,,kg/m3
2023-01-01,Parsel-D,Hıyar,yield_kg,5533,,kg
2023-01-01,Parsel-D,Hıyar,irrigation_m3,320,,m3
2023-01-01,Parsel-D,Hıyar,fertilizer_kg,58,,kg
2023-01-01,Parsel-D,Hıyar,weather_index,89,,index
2023-01-01,Parsel-D,Hıyar,yield_per_m3,17.29,,kg/m3
