Ay,Servis_Turu,Is_Emri_Sayisi,Gelir_TL,Maliyet_TL,Ortalama_Tamir_Suresi_Saat,Teknisyen_Saat,Faturalanan_Saat,Parca_Geliri_TL
2025-01,Periyodik Bakım,420,2800000,1450000,2.1,1200,980,620000
2025-01,Mekanik Onarım,260,2400000,1300000,3.4,1150,950,720000
2025-01,Kaporta & Boya,140,2100000,1200000,4.5,980,760,680000
2025-01,Elektrik/Diagnostik,120,1500000,820000,2.8,640,520,310000
2025-01,Sigorta,110,1250000,520000,2.2,320,290,180000
2025-01,Aksesuar,160,900000,420000,1.7,280,250,360000
2025-02,Periyodik Bakım,440,2900000,1500000,2.0,1220,1000,650000
2025-02,Mekanik Onarım,270,2480000,1340000,3.3,1170,970,740000
2025-02,Kaporta & Boya,150,2180000,1230000,4.4,1000,780,700000
2025-02,Elektrik/Diagnostik,125,1560000,850000,2.7,650,540,320000
2025-02,Sigorta,115,1300000,540000,2.1,330,300,190000
2025-02,Aksesuar,170,950000,440000,1.6,290,260,380000
2025-03,Periyodik Bakım,460,3000000,1560000,2.1,1240,1020,670000
2025-03,Mekanik Onarım,280,2560000,1380000,3.2,1190,990,760000
2025-03,Kaporta & Boya,155,2250000,1260000,4.3,1010,800,720000
2025-03,Elektrik/Diagnostik,130,1620000,880000,2.7,660,560,330000
2025-03,Sigorta,120,1360000,560000,2.0,340,310,200000
2025-03,Aksesuar,180,1000000,460000,1.6,300,270,400000
2025-04,Periyodik Bakım,470,3080000,1600000,2.0,1250,1040,690000
2025-04,Mekanik Onarım,290,2640000,1420000,3.1,1200,1010,780000
2025-04,Kaporta & Boya,160,2320000,1285000,4.2,1020,820,730000
2025-04,Elektrik/Diagnostik,135,1680000,910000,2.6,670,580,340000
2025-04,Sigorta,125,1420000,580000,2.0,350,320,210000
2025-04,Aksesuar,190,1060000,480000,1.5,310,280,420000
2025-05,Periyodik Bakım,480,3150000,1640000,2.0,1260,1060,710000
2025-05,Mekanik Onarım,300,2720000,1460000,3.0,1210,1030,800000
2025-05,Kaporta & Boya,165,2380000,1310000,4.1,1030,840,750000
2025-05,Elektrik/Diagnostik,138,1720000,930000,2.6,680,590,350000
2025-05,Sigorta,128,1480000,600000,2.0,360,330,220000
2025-05,Aksesuar,195,1100000,500000,1.5,320,290,440000
2025-06,Periyodik Bakım,490,3220000,1680000,1.9,1270,1080,730000
2025-06,Mekanik Onarım,305,2780000,1490000,3.0,1220,1040,820000
2025-06,Kaporta & Boya,170,2440000,1340000,4.0,1040,860,770000
2025-06,Elektrik/Diagnostik,140,1760000,950000,2.5,690,600,360000
2025-06,Sigorta,130,1540000,620000,1.9,370,340,230000
2025-06,Aksesuar,200,1140000,520000,1.5,330,300,460000
