Ay,Arac_Grubu,Gelir_TL,COGS_TL,Brut_Kar_TL,Nakit_Akisi_TL,Satilan_Adet
2025-01,Binek,12500000,9800000,2700000,1400000,210
2025-01,SUV,9400000,7100000,2300000,1100000,120
2025-01,Ticari,7600000,5900000,1700000,900000,95
2025-01,Tarım,3200000,2500000,700000,350000,60
2025-02,Binek,12800000,9950000,2850000,1500000,215
2025-02,SUV,9650000,7250000,2400000,1150000,122
2025-02,Ticari,7800000,6000000,1800000,940000,96
2025-02,Tarım,3350000,2600000,750000,360000,61
2025-03,Binek,13200000,10100000,3100000,1600000,220
2025-03,SUV,9800000,7400000,2400000,1200000,125
2025-03,Ticari,8000000,6150000,1850000,970000,98
2025-03,Tarım,3450000,2680000,770000,370000,62
2025-04,Binek,13600000,10350000,3250000,1700000,230
2025-04,SUV,10100000,7550000,2550000,1260000,128
2025-04,Ticari,8200000,6300000,1900000,1000000,100
2025-04,Tarım,3550000,2760000,790000,380000,63
2025-05,Binek,14200000,10700000,3500000,1800000,235
2025-05,SUV,10400000,7700000,2700000,1320000,130
2025-05,Ticari,8500000,6450000,2050000,1040000,102
2025-05,Tarım,3700000,2850000,850000,395000,64
2025-06,Binek,14800000,11100000,3700000,1900000,240
2025-06,SUV,10750000,7900000,2850000,1380000,133
2025-06,Ticari,8700000,6600000,2100000,1080000,103
2025-06,Tarım,3850000,2940000,910000,410000,65
2025-07,Binek,15200000,11400000,3800000,2000000,245
2025-07,SUV,11100000,8100000,3000000,1450000,136
2025-07,Ticari,8950000,6750000,2200000,1120000,104
2025-07,Tarım,3950000,3000000,950000,420000,66
2025-08,Binek,15500000,11600000,3900000,2050000,248
2025-08,SUV,11400000,8300000,3100000,1500000,138
2025-08,Ticari,9200000,6900000,2300000,1150000,106
2025-08,Tarım,4050000,3070000,980000,430000,67
2025-09,Binek,16000000,11850000,4150000,2150000,255
2025-09,SUV,11800000,8500000,3300000,1560000,140
2025-09,Ticari,9450000,7050000,2400000,1180000,107
2025-09,Tarım,4200000,3150000,1050000,440000,68
2025-10,Binek,16500000,12200000,4300000,2250000,260
2025-10,SUV,12100000,8700000,3400000,1600000,142
2025-10,Ticari,9700000,7200000,2500000,1220000,108
2025-10,Tarım,4320000,3220000,1100000,450000,69
2025-11,Binek,17000000,12500000,4500000,2350000,265
2025-11,SUV,12400000,8900000,3500000,1650000,144
2025-11,Ticari,9900000,7350000,2550000,1240000,110
2025-11,Tarım,4450000,3300000,1150000,460000,70
2025-12,Binek,17500000,12800000,4700000,2450000,270
2025-12,SUV,12650000,9050000,3600000,1700000,145
2025-12,Ticari,10100000,7500000,2600000,1260000,111
2025-12,Tarım,4600000,3380000,1220000,480000,72
