date,entity,category,metric,value,currency,unit
2024-01-01,Hat-1-Gündüz,Ürün-A,oee_percent,74.3,,%
2024-01-01,Hat-1-Gündüz,Ürün-A,availability_percent,94,,%
2024-01-01,Hat-1-Gündüz,Ürün-A,performance_percent,81.3,,%
2024-01-01,Hat-1-Gündüz,Ürün-A,quality_percent,97.3,,%
2024-01-01,Hat-1-Gündüz,Ürün-A,production_units,893,,adet
2024-01-01,Hat-1-Gündüz,Ürün-A,scrap_units,24,,adet
2024-01-01,Hat-1-Gündüz,Ürün-A,scrap_cost_tl,710,TL,
2024-01-01,Hat-1-Gündüz,Ürün-A,downtime_hours,0.5,,saat
2024-01-01,Hat-1-Gece,Ürün-A,oee_percent,72.2,,%
2024-01-01,Hat-1-Gece,Ürün-A,availability_percent,85.7,,%
2024-01-01,Hat-1-Gece,Ürün-A,performance_percent,88.3,,%
2024-01-01,Hat-1-Gece,Ürün-A,quality_percent,95.5,,%
2024-01-01,Hat-1-Gece,Ürün-A,production_units,1192,,adet
2024-01-01,Hat-1-Gece,Ürün-A,scrap_units,54,,adet
2024-01-01,Hat-1-Gece,Ürün-A,scrap_cost_tl,775,TL,
2024-01-01,Hat-1-Gece,Ürün-A,downtime_hours,1.1,,saat
2024-01-01,Hat-1-Gündüz,Ürün-B,oee_percent,71.3,,%
2024-01-01,Hat-1-Gündüz,Ürün-B,availability_percent,87.7,,%
2024-01-01,Hat-1-Gündüz,Ürün-B,performance_percent,86.2,,%
2024-01-01,Hat-1-Gündüz,Ürün-B,quality_percent,94.3,,%
2024-01-01,Hat-1-Gündüz,Ürün-B,production_units,1086,,adet
2024-01-01,Hat-1-Gündüz,Ürün-B,scrap_units,61,,adet
2024-01-01,Hat-1-Gündüz,Ürün-B,scrap_cost_tl,1536,TL,
2024-01-01,Hat-1-Gündüz,Ürün-B,downtime_hours,1,,saat
2024-01-01,Hat-1-Gece,Ürün-B,oee_percent,73,,%
2024-01-01,Hat-1-Gece,Ürün-B,availability_percent,90.9,,%
2024-01-01,Hat-1-Gece,Ürün-B,performance_percent,88.7,,%
2024-01-01,Hat-1-Gece,Ürün-B,quality_percent,90.6,,%
2024-01-01,Hat-1-Gece,Ürün-B,production_units,1099,,adet
2024-01-01,Hat-1-Gece,Ürün-B,scrap_units,103,,adet
2024-01-01,Hat-1-Gece,Ürün-B,scrap_cost_tl,1853,TL,
2024-01-01,Hat-1-Gece,Ürün-B,downtime_hours,0.7,,saat
2024-01-01,Hat-1-Gündüz,Ürün-C,oee_percent,78.8,,%
2024-01-01,Hat-1-Gündüz,Ürün-C,availability_percent,94.5,,%
2024-01-01,Hat-1-Gündüz,Ürün-C,performance_percent,90.6,,%
2024-01-01,Hat-1-Gündüz,Ürün-C,quality_percent,92.1,,%
2024-01-01,Hat-1-Gündüz,Ürün-C,production_units,1132,,adet
2024-01-01,Hat-1-Gündüz,Ürün-C,scrap_units,89,,adet
2024-01-01,Hat-1-Gündüz,Ürün-C,scrap_cost_tl,2655,TL,
2024-01-01,Hat-1-Gündüz,Ürün-C,downtime_hours,0.4,,saat
2024-01-01,Hat-1-Gece,Ürün-C,oee_percent,81.5,,%
2024-01-01,Hat-1-Gece,Ürün-C,availability_percent,89.6,,%
2024-01-01,Hat-1-Gece,Ürün-C,performance_percent,94,,%
2024-01-01,Hat-1-Gece,Ürün-C,quality_percent,96.8,,%
2024-01-01,Hat-1-Gece,Ürün-C,production_units,949,,adet
2024-01-01,Hat-1-Gece,Ürün-C,scrap_units,30,,adet
2024-01-01,Hat-1-Gece,Ürün-C,scrap_cost_tl,507,TL,
2024-01-01,Hat-1-Gece,Ürün-C,downtime_hours,0.8,,saat
2024-01-01,Hat-2-Gündüz,Ürün-A,oee_percent,68.1,,%
2024-01-01,Hat-2-Gündüz,Ürün-A,availability_percent,87.3,,%
2024-01-01,Hat-2-Gündüz,Ürün-A,performance_percent,80.8,,%
2024-01-01,Hat-2-Gündüz,Ürün-A,quality_percent,96.6,,%
2024-01-01,Hat-2-Gündüz,Ürün-A,production_units,1029,,adet
2024-01-01,Hat-2-Gündüz,Ürün-A,scrap_units,34,,adet
2024-01-01,Hat-2-Gündüz,Ürün-A,scrap_cost_tl,770,TL,
2024-01-01,Hat-2-Gündüz,Ürün-A,downtime_hours,1,,saat
2024-01-01,Hat-2-Gece,Ürün-A,oee_percent,73.8,,%
2024-01-01,Hat-2-Gece,Ürün-A,availability_percent,90.4,,%
2024-01-01,Hat-2-Gece,Ürün-A,performance_percent,90.1,,%
2024-01-01,Hat-2-Gece,Ürün-A,quality_percent,90.7,,%
2024-01-01,Hat-2-Gece,Ürün-A,production_units,1055,,adet
2024-01-01,Hat-2-Gece,Ürün-A,scrap_units,98,,adet
2024-01-01,Hat-2-Gece,Ürün-A,scrap_cost_tl,2409,TL,
2024-01-01,Hat-2-Gece,Ürün-A,downtime_hours,0.8,,saat
2024-01-01,Hat-2-Gündüz,Ürün-B,oee_percent,73.7,,%
2024-01-01,Hat-2-Gündüz,Ürün-B,availability_percent,88.8,,%
2024-01-01,Hat-2-Gündüz,Ürün-B,performance_percent,90.5,,%
2024-01-01,Hat-2-Gündüz,Ürün-B,quality_percent,91.7,,%
2024-01-01,Hat-2-Gündüz,Ürün-B,production_units,1067,,adet
2024-01-01,Hat-2-Gündüz,Ürün-B,scrap_units,89,,adet
2024-01-01,Hat-2-Gündüz,Ürün-B,scrap_cost_tl,1897,TL,
2024-01-01,Hat-2-Gündüz,Ürün-B,downtime_hours,0.9,,saat
2024-01-01,Hat-2-Gece,Ürün-B,oee_percent,71.2,,%
2024-01-01,Hat-2-Gece,Ürün-B,availability_percent,87.9,,%
2024-01-01,Hat-2-Gece,Ürün-B,performance_percent,87.1,,%
2024-01-01,Hat-2-Gece,Ürün-B,quality_percent,92.9,,%
2024-01-01,Hat-2-Gece,Ürün-B,production_units,1130,,adet
2024-01-01,Hat-2-Gece,Ürün-B,scrap_units,79,,adet
2024-01-01,Hat-2-Gece,Ürün-B,scrap_cost_tl,1873,TL,
2024-01-01,Hat-2-Gece,Ürün-B,downtime_hours,1,,saat
2024-01-01,Hat-2-Gündüz,Ürün-C,oee_percent,72.7,,%
2024-01-01,Hat-2-Gündüz,Ürün-C,availability_percent,92.8,,%
