date,entity,category,metric,value,currency,unit
2023-01-01,Kadıköy Şubesi,Hafta İçi,covers,344,,masa
2023-01-01,Kadıköy Şubesi,Hafta İçi,avg_check_tl,196,TL,
2023-01-01,Kadıköy Şubesi,Hafta İçi,revenue_tl,67484,TL,
2023-01-01,Kadıköy Şubesi,Hafta İçi,food_cost_tl,19202,TL,
2023-01-01,Kadıköy Şubesi,Hafta İçi,food_cost_percent,28.5,,%
2023-01-01,Kadıköy Şubesi,Hafta İçi,labor_hours,138,,saat
2023-01-01,Kadıköy Şubesi,Hafta İçi,labor_cost_tl,6192,TL,
2023-01-01,Kadıköy Şubesi,Hafta İçi,gross_profit_tl,42089,TL,
2023-01-01,Kadıköy Şubesi,Hafta İçi,gross_profit_percent,62.4,,%
2023-01-01,Kadıköy Şubesi,Hafta Sonu,covers,486,,masa
2023-01-01,Kadıköy Şubesi,Hafta Sonu,avg_check_tl,233,TL,
2023-01-01,Kadıköy Şubesi,Hafta Sonu,revenue_tl,113196,TL,
2023-01-01,Kadıköy Şubesi,Hafta Sonu,food_cost_tl,31758,TL,
2023-01-01,Kadıköy Şubesi,Hafta Sonu,food_cost_percent,28.1,,%
2023-01-01,Kadıköy Şubesi,Hafta Sonu,labor_hours,194,,saat
2023-01-01,Kadıköy Şubesi,Hafta Sonu,labor_cost_tl,8748,TL,
2023-01-01,Kadıköy Şubesi,Hafta Sonu,gross_profit_tl,72690,TL,
2023-01-01,Kadıköy Şubesi,Hafta Sonu,gross_profit_percent,64.2,,%
2023-01-01,Beşiktaş Şubesi,Hafta İçi,covers,348,,masa
2023-01-01,Beşiktaş Şubesi,Hafta İçi,avg_check_tl,182,TL,
2023-01-01,Beşiktaş Şubesi,Hafta İçi,revenue_tl,63384,TL,
2023-01-01,Beşiktaş Şubesi,Hafta İçi,food_cost_tl,20887,TL,
2023-01-01,Beşiktaş Şubesi,Hafta İçi,food_cost_percent,33,,%
2023-01-01,Beşiktaş Şubesi,Hafta İçi,labor_hours,139,,saat
2023-01-01,Beşiktaş Şubesi,Hafta İçi,labor_cost_tl,6264,TL,
2023-01-01,Beşiktaş Şubesi,Hafta İçi,gross_profit_tl,36232,TL,
2023-01-01,Beşiktaş Şubesi,Hafta İçi,gross_profit_percent,57.2,,%
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,covers,468,,masa
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,avg_check_tl,198,TL,
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,revenue_tl,92508,TL,
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,food_cost_tl,26138,TL,
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,food_cost_percent,28.3,,%
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,labor_hours,187,,saat
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,labor_cost_tl,8424,TL,
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,gross_profit_tl,57946,TL,
2023-01-01,Beşiktaş Şubesi,Hafta Sonu,gross_profit_percent,62.6,,%
2023-01-01,Nişantaşı Şubesi,Hafta İçi,covers,281,,masa
2023-01-01,Nişantaşı Şubesi,Hafta İçi,avg_check_tl,213,TL,
2023-01-01,Nişantaşı Şubesi,Hafta İçi,revenue_tl,59908,TL,
2023-01-01,Nişantaşı Şubesi,Hafta İçi,food_cost_tl,17038,TL,
2023-01-01,Nişantaşı Şubesi,Hafta İçi,food_cost_percent,28.4,,%
2023-01-01,Nişantaşı Şubesi,Hafta İçi,labor_hours,112,,saat
2023-01-01,Nişantaşı Şubesi,Hafta İçi,labor_cost_tl,5058,TL,
2023-01-01,Nişantaşı Şubesi,Hafta İçi,gross_profit_tl,37812,TL,
2023-01-01,Nişantaşı Şubesi,Hafta İçi,gross_profit_percent,63.1,,%
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,covers,522,,masa
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,avg_check_tl,233,TL,
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,revenue_tl,121434,TL,
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,food_cost_tl,39240,TL,
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,food_cost_percent,32.3,,%
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,labor_hours,209,,saat
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,labor_cost_tl,9396,TL,
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,gross_profit_tl,72798,TL,
2023-01-01,Nişantaşı Şubesi,Hafta Sonu,gross_profit_percent,59.9,,%
2023-01-08,Kadıköy Şubesi,Hafta İçi,covers,336,,masa
2023-01-08,Kadıköy Şubesi,Hafta İçi,avg_check_tl,218,TL,
2023-01-08,Kadıköy Şubesi,Hafta İçi,revenue_tl,73311,TL,
2023-01-08,Kadıköy Şubesi,Hafta İçi,food_cost_tl,21647,TL,
