field_id,crop_type,seed_cost,fertilizer_cost,pesticide_cost,water_cost,labor_cost,machinery_cost,total_cost_per_decare
F001,Domates,800,1200,600,850,2200,950,6600
F002,Biber,950,1100,650,800,2100,900,6500
F003,Domates,800,1300,650,900,2300,1000,6950
F004,Hıyar,700,1000,550,750,1900,850,5750
F005,Biber,950,1150,650,820,2150,920,6640
F006,Domates,800,1350,680,920,2350,1020,7120
F007,Hıyar,700,950,520,730,1850,830,5580
F008,Domates,800,1250,630,880,2250,980,6790
F009,Biber,950,1120,640,810,2120,910,6550
F010,Hıyar,700,980,540,740,1880,840,5680



