date,department,present,absent,sick_leave,paid_leave,late_arrivals
2024-01-02,Teknoloji,6,0,0,0,1
2024-01-02,Pazarlama,4,0,0,0,0
2024-01-02,Satış,5,0,0,0,1
2024-01-02,İK,3,0,0,0,0
2024-01-02,Finans,2,0,0,0,0
2024-01-15,Teknoloji,5,1,1,0,2
2024-01-15,Pazarlama,4,0,0,0,1
2024-01-15,Satış,4,1,0,1,1
2024-01-15,İK,3,0,0,0,0
2024-01-15,Finans,2,0,0,0,0
2024-02-05,Teknoloji,6,0,0,0,1
2024-02-05,Pazarlama,3,1,1,0,1
2024-02-05,Satış,5,0,0,0,2
2024-02-05,İK,3,0,0,0,0
2024-02-05,Finans,2,0,0,0,0
2024-02-20,Teknoloji,5,1,0,1,1
2024-02-20,Pazarlama,4,0,0,0,1
2024-02-20,Satış,4,1,1,0,2
2024-02-20,İK,2,1,0,1,0
2024-02-20,Finans,2,0,0,0,0
2024-03-10,Teknoloji,6,0,0,0,2
2024-03-10,Pazarlama,4,0,0,0,1
2024-03-10,Satış,5,0,0,0,1
2024-03-10,İK,3,0,0,0,1
2024-03-10,Finans,2,0,0,0,0
2024-03-25,Teknoloji,5,1,1,0,2
2024-03-25,Pazarlama,3,1,0,1,1
2024-03-25,Satış,4,1,1,0,3
2024-03-25,İK,3,0,0,0,0
2024-03-25,Finans,2,0,0,0,0
2024-04-08,Teknoloji,6,0,0,0,1
2024-04-08,Pazarlama,4,0,0,0,1
2024-04-08,Satış,5,0,0,0,2
2024-04-08,İK,3,0,0,0,0
2024-04-08,Finans,2,0,0,0,0
2024-04-22,Teknoloji,5,1,0,1,2
2024-04-22,Pazarlama,4,0,0,0,1
2024-04-22,Satış,4,1,1,0,2
2024-04-22,İK,3,0,0,0,1
2024-04-22,Finans,2,0,0,0,0
2024-05-06,Teknoloji,6,0,0,0,1
2024-05-06,Pazarlama,4,0,0,0,1
2024-05-06,Satış,5,0,0,0,1
2024-05-06,İK,3,0,0,0,0
2024-05-06,Finans,2,0,0,0,0
2024-05-20,Teknoloji,5,1,1,0,2
2024-05-20,Pazarlama,3,1,1,0,1
2024-05-20,Satış,4,1,0,1,3
2024-05-20,İK,3,0,0,0,0
2024-05-20,Finans,2,0,0,0,0
2024-06-03,Teknoloji,6,0,0,0,2
2024-06-03,Pazarlama,4,0,0,0,1
2024-06-03,Satış,5,0,0,0,2
2024-06-03,İK,3,0,0,0,1
2024-06-03,Finans,2,0,0,0,0
2024-06-17,Teknoloji,5,1,0,1,1
2024-06-17,Pazarlama,4,0,0,0,1
2024-06-17,Satış,4,1,1,0,2
2024-06-17,İK,2,1,1,0,0
2024-06-17,Finans,2,0,0,0,0



