date,warehouse,item_sku,item_type,qty_on_hand,unit_cost
2024-01-01,WH-Main,P001,Finished Good,2400,45.00
2024-01-01,WH-Main,P002,Finished Good,1800,62.00
2024-01-01,WH-Secondary,P003,Finished Good,950,88.00
2024-01-01,WH-Main,RM-001,Raw Material,15000,8.50
2024-01-01,WH-Main,RM-002,Raw Material,12000,12.00
2024-01-15,WH-Main,P001,Finished Good,2580,45.00
2024-01-15,WH-Main,P002,Finished Good,1920,62.00
2024-01-15,WH-Secondary,P003,Finished Good,1020,88.00
2024-01-15,WH-Main,RM-001,Raw Material,14200,8.50
2024-01-15,WH-Main,RM-002,Raw Material,11500,12.00
2024-01-31,WH-Main,P001,Finished Good,2850,45.20
2024-01-31,WH-Main,P002,Finished Good,2100,62.50
2024-01-31,WH-Secondary,P003,Finished Good,1150,88.50
2024-01-31,WH-Main,RM-001,Raw Material,13800,8.60
2024-01-31,WH-Main,RM-002,Raw Material,11200,12.10
2024-02-15,WH-Main,P001,Finished Good,3120,45.50
2024-02-15,WH-Main,P002,Finished Good,2280,63.00
2024-02-15,WH-Secondary,P003,Finished Good,1250,89.00
2024-02-15,WH-Main,RM-001,Raw Material,13500,8.70
2024-02-15,WH-Main,RM-002,Raw Material,10900,12.20
2024-02-29,WH-Main,P001,Finished Good,3450,45.80
2024-02-29,WH-Main,P002,Finished Good,2480,63.50
2024-02-29,WH-Secondary,P003,Finished Good,1380,89.50
2024-02-29,WH-Main,RM-001,Raw Material,13200,8.75
2024-02-29,WH-Main,RM-002,Raw Material,10600,12.25
2024-03-15,WH-Main,P001,Finished Good,3850,46.00
2024-03-15,WH-Main,P002,Finished Good,2720,64.00
2024-03-15,WH-Secondary,P003,Finished Good,1520,90.00
2024-03-15,WH-Main,RM-001,Raw Material,12900,8.80
2024-03-15,WH-Main,RM-002,Raw Material,10300,12.30
2024-03-31,WH-Main,P001,Finished Good,4180,46.20
2024-03-31,WH-Main,P002,Finished Good,2950,64.50
2024-03-31,WH-Secondary,P003,Finished Good,1680,90.50
2024-03-31,WH-Main,RM-001,Raw Material,12600,8.85
2024-03-31,WH-Main,RM-002,Raw Material,10000,12.35
2024-04-15,WH-Main,P001,Finished Good,4020,46.50
2024-04-15,WH-Main,P002,Finished Good,2850,65.00
2024-04-15,WH-Secondary,P003,Finished Good,1620,91.00
2024-04-15,WH-Main,RM-001,Raw Material,12400,8.90
2024-04-15,WH-Main,RM-002,Raw Material,9800,12.40
2024-04-30,WH-Main,P001,Finished Good,3820,46.80
2024-04-30,WH-Main,P002,Finished Good,2720,65.50
2024-04-30,WH-Secondary,P003,Finished Good,1550,91.50
2024-04-30,WH-Main,RM-001,Raw Material,12200,8.95
2024-04-30,WH-Main,RM-002,Raw Material,9600,12.45
2024-05-15,WH-Main,P001,Finished Good,3580,47.00
2024-05-15,WH-Main,P002,Finished Good,2580,66.00
2024-05-15,WH-Secondary,P003,Finished Good,1480,92.00
2024-05-15,WH-Main,RM-001,Raw Material,12000,9.00
2024-05-15,WH-Main,RM-002,Raw Material,9400,12.50
2024-05-31,WH-Main,P001,Finished Good,3320,47.20
2024-05-31,WH-Main,P002,Finished Good,2420,66.50
2024-05-31,WH-Secondary,P003,Finished Good,1380,92.50
2024-05-31,WH-Main,RM-001,Raw Material,11800,9.05
2024-05-31,WH-Main,RM-002,Raw Material,9200,12.55
2024-06-15,WH-Main,P001,Finished Good,3050,47.50
2024-06-15,WH-Main,P002,Finished Good,2280,67.00
2024-06-15,WH-Secondary,P003,Finished Good,1280,93.00
2024-06-15,WH-Main,RM-001,Raw Material,11600,9.10
2024-06-15,WH-Main,RM-002,Raw Material,9000,12.60
2024-06-30,WH-Main,P001,Finished Good,2780,47.80
2024-06-30,WH-Main,P002,Finished Good,2120,67.50
2024-06-30,WH-Secondary,P003,Finished Good,1180,93.50
2024-06-30,WH-Main,RM-001,Raw Material,11400,9.15
2024-06-30,WH-Main,RM-002,Raw Material,8800,12.65






