date,line,planned_minutes,runtime_minutes,downtime_minutes,oee
2024-01-03,Line-A,1440,1225,215,0.85
2024-01-04,Line-B,1440,1195,245,0.83
2024-01-06,Line-C,1440,1080,360,0.75
2024-01-08,Line-A,1440,1230,210,0.85
2024-01-09,Line-B,1440,1200,240,0.83
2024-01-11,Line-A,1440,1235,205,0.86
2024-01-13,Line-C,1440,1065,375,0.74
2024-01-16,Line-A,1440,1240,200,0.86
2024-01-17,Line-B,1440,1205,235,0.84
2024-01-19,Line-A,1440,1238,202,0.86
2024-01-21,Line-C,1440,1050,390,0.73
2024-01-23,Line-B,1440,1210,230,0.84
2024-01-26,Line-A,1440,1242,198,0.86
2024-01-29,Line-B,1440,1215,225,0.84
2024-01-31,Line-A,1440,1245,195,0.86
2024-02-03,Line-A,1440,1248,192,0.87
2024-02-04,Line-C,1440,1045,395,0.73
2024-02-06,Line-B,1440,1220,220,0.85
2024-02-09,Line-A,1440,1250,190,0.87
2024-02-11,Line-C,1440,1040,400,0.72
2024-02-13,Line-B,1440,1225,215,0.85
2024-02-16,Line-A,1440,1252,188,0.87
2024-02-19,Line-B,1440,1230,210,0.85
2024-02-21,Line-A,1440,1255,185,0.87
2024-02-23,Line-C,1440,1035,405,0.72
2024-02-26,Line-B,1440,1235,205,0.86
2024-02-29,Line-A,1440,1258,182,0.87
2024-03-02,Line-A,1440,1260,180,0.88
2024-03-04,Line-B,1440,1240,200,0.86
2024-03-06,Line-C,1440,1030,410,0.72
2024-03-09,Line-A,1440,1262,178,0.88
2024-03-11,Line-B,1440,1245,195,0.86
2024-03-13,Line-A,1440,1265,175,0.88
2024-03-16,Line-C,1440,1025,415,0.71
2024-03-19,Line-B,1440,1248,192,0.87
2024-03-21,Line-A,1440,1268,172,0.88
2024-03-23,Line-B,1440,1250,190,0.87
2024-03-26,Line-A,1440,1270,170,0.88
2024-03-29,Line-C,1440,1020,420,0.71
2024-03-31,Line-A,1440,1272,168,0.88
2024-04-03,Line-B,1440,1252,188,0.87
2024-04-06,Line-A,1440,1268,172,0.88
2024-04-09,Line-C,1440,1025,415,0.71
2024-04-11,Line-B,1440,1248,192,0.87
2024-04-13,Line-A,1440,1265,175,0.88
2024-04-16,Line-B,1440,1245,195,0.86
2024-04-19,Line-A,1440,1262,178,0.88
2024-04-21,Line-C,1440,1030,410,0.72
2024-04-23,Line-B,1440,1240,200,0.86
2024-04-26,Line-A,1440,1258,182,0.87
2024-04-29,Line-B,1440,1235,205,0.86
2024-05-01,Line-A,1440,1255,185,0.87
2024-05-03,Line-A,1440,1252,188,0.87
2024-05-06,Line-C,1440,1035,405,0.72
2024-05-09,Line-B,1440,1230,210,0.85
2024-05-11,Line-A,1440,1250,190,0.87
2024-05-13,Line-B,1440,1225,215,0.85
2024-05-16,Line-A,1440,1248,192,0.87
2024-05-19,Line-C,1440,1040,400,0.72
2024-05-21,Line-B,1440,1220,220,0.85
2024-05-23,Line-A,1440,1245,195,0.86
2024-05-26,Line-B,1440,1215,225,0.84
2024-05-29,Line-A,1440,1242,198,0.86
2024-05-31,Line-C,1440,1045,395,0.73
2024-06-03,Line-A,1440,1240,200,0.86
2024-06-06,Line-B,1440,1210,230,0.84
2024-06-09,Line-A,1440,1238,202,0.86
2024-06-11,Line-C,1440,1050,390,0.73
2024-06-13,Line-B,1440,1205,235,0.84
2024-06-16,Line-A,1440,1235,205,0.86
2024-06-19,Line-B,1440,1200,240,0.83
2024-06-21,Line-A,1440,1230,210,0.85
2024-06-23,Line-C,1440,1055,385,0.73
2024-06-26,Line-B,1440,1195,245,0.83
2024-06-29,Line-A,1440,1228,212,0.85
2024-06-30,Line-B,1440,1190,250,0.83










