Tarih,Üretim_Emri_No,Ürün_Kodu,Üretim_Aşaması,Üretilen_Adet,Hatalı_Adet,Toplam_Üretim_Maliyeti_USD,Mamul_Stok,Yarı_Mamul_Stok
2024-01-02,UE-2024-001,TRST-A100,Hammadde Hazırlık,1200,15,4800,250,180
2024-01-02,UE-2024-002,TRST-A100,Montaj,1185,8,5925,250,180
2024-01-02,UE-2024-003,TRST-A100,Kalite Kontrol,1177,3,2354,250,180
2024-01-03,UE-2024-004,TRST-B200,Hammadde Hazırlık,800,12,3600,180,120
2024-01-03,UE-2024-005,TRST-B200,Montaj,788,5,4728,180,120
2024-01-03,UE-2024-006,TRST-B200,Kalite Kontrol,783,2,1566,180,120
2024-01-04,UE-2024-007,TRST-A100,Hammadde Hazırlık,1500,18,6000,310,220
2024-01-04,UE-2024-008,TRST-A100,Montaj,1482,10,7410,310,220
2024-01-04,UE-2024-009,TRST-A100,Kalite Kontrol,1472,4,2944,310,220
2024-01-05,UE-2024-010,TRST-C300,Hammadde Hazırlık,600,8,3300,150,90
2024-01-05,UE-2024-011,TRST-C300,Montaj,592,4,3848,150,90
2024-01-05,UE-2024-012,TRST-C300,Kalite Kontrol,588,1,1176,150,90
2024-01-08,UE-2024-013,TRST-A100,Hammadde Hazırlık,1300,16,5200,280,200
2024-01-08,UE-2024-014,TRST-A100,Montaj,1284,9,6420,280,200
2024-01-08,UE-2024-015,TRST-A100,Kalite Kontrol,1275,3,2550,280,200
2024-01-09,UE-2024-016,TRST-B200,Hammadde Hazırlık,900,14,4050,200,140
2024-01-09,UE-2024-017,TRST-B200,Montaj,886,6,5316,200,140
2024-01-09,UE-2024-018,TRST-B200,Kalite Kontrol,880,2,1760,200,140
2024-01-10,UE-2024-019,TRST-C300,Hammadde Hazırlık,700,10,3850,170,110
2024-01-10,UE-2024-020,TRST-C300,Montaj,690,5,4485,170,110
2024-01-10,UE-2024-021,TRST-C300,Kalite Kontrol,685,2,1370,170,110
2024-01-11,UE-2024-022,TRST-A100,Hammadde Hazırlık,1400,17,5600,300,210
2024-01-11,UE-2024-023,TRST-A100,Montaj,1383,8,6915,300,210
2024-01-11,UE-2024-024,TRST-A100,Kalite Kontrol,1375,3,2750,300,210
2024-01-12,UE-2024-025,TRST-B200,Hammadde Hazırlık,850,13,3825,190,130
2024-01-12,UE-2024-026,TRST-B200,Montaj,837,6,5022,190,130
2024-01-12,UE-2024-027,TRST-B200,Kalite Kontrol,831,2,1662,190,130
2024-01-15,UE-2024-028,TRST-A100,Hammadde Hazırlık,1600,20,6400,340,240
2024-01-15,UE-2024-029,TRST-A100,Montaj,1580,11,7900,340,240
2024-01-15,UE-2024-030,TRST-A100,Kalite Kontrol,1569,4,3138,340,240
2024-01-16,UE-2024-031,TRST-C300,Hammadde Hazırlık,750,11,4125,180,120
2024-01-16,UE-2024-032,TRST-C300,Montaj,739,5,4803,180,120
2024-01-16,UE-2024-033,TRST-C300,Kalite Kontrol,734,2,1468,180,120
2024-01-17,UE-2024-034,TRST-B200,Hammadde Hazırlık,950,15,4275,210,150
2024-01-17,UE-2024-035,TRST-B200,Montaj,935,7,5610,210,150
2024-01-17,UE-2024-036,TRST-B200,Kalite Kontrol,928,2,1856,210,150
2024-01-18,UE-2024-037,TRST-A100,Hammadde Hazırlık,1450,18,5800,320,230
2024-01-18,UE-2024-038,TRST-A100,Montaj,1432,9,7160,320,230
2024-01-18,UE-2024-039,TRST-A100,Kalite Kontrol,1423,3,2846,320,230
2024-01-19,UE-2024-040,TRST-C300,Hammadde Hazırlık,680,9,3740,165,105
2024-01-19,UE-2024-041,TRST-C300,Montaj,671,4,4363,165,105
2024-01-19,UE-2024-042,TRST-C300,Kalite Kontrol,667,1,1334,165,105
2024-01-22,UE-2024-043,TRST-A100,Hammadde Hazırlık,1550,19,6200,330,235
2024-01-22,UE-2024-044,TRST-A100,Montaj,1531,10,7655,330,235
2024-01-22,UE-2024-045,TRST-A100,Kalite Kontrol,1521,4,3042,330,235
2024-01-23,UE-2024-046,TRST-B200,Hammadde Hazırlık,880,14,3960,195,135
2024-01-23,UE-2024-047,TRST-B200,Montaj,866,6,5196,195,135
2024-01-23,UE-2024-048,TRST-B200,Kalite Kontrol,860,2,1720,195,135
2024-01-24,UE-2024-049,TRST-C300,Hammadde Hazırlık,720,10,3960,175,115
2024-01-24,UE-2024-050,TRST-C300,Montaj,710,5,4615,175,115
2024-01-24,UE-2024-051,TRST-C300,Kalite Kontrol,705,2,1410,175,115
