Tarih,Hat_No,Hedef_Uretim,Gerceklesen_Uretim,Uretim_Yuzdesi,OEE,Kullanilabilirlik,Performans,Kalite,Makine_Durus_Dakika,Plansiz_Durus,Hurda_Sayisi,Hurda_Orani,İlk_Gecis_Verimi,Cevrim_Suresi_Dakika
2024-01-05,Hat 1,2400,2280,95.0,82.5,92.0,91.5,98.0,96,45,24,1.0,98.0,2.1
2024-01-05,Hat 2,2200,2112,96.0,84.0,93.0,92.0,98.2,84,38,18,0.9,98.2,2.3
2024-01-05,Hat 3,2000,1900,95.0,81.0,90.0,92.5,97.5,120,65,25,1.3,97.5,2.5
2024-02-10,Hat 1,2400,2304,96.0,83.5,92.5,92.0,98.2,90,50,22,1.0,98.2,2.1
2024-02-10,Hat 2,2200,2134,97.0,85.0,93.5,92.5,98.4,78,35,16,0.7,98.4,2.3
2024-02-10,Hat 3,2000,1920,96.0,82.0,91.0,93.0,97.8,108,58,23,1.2,97.8,2.4
2024-03-15,Hat 1,2400,2328,97.0,84.5,93.0,92.5,98.5,84,42,20,0.9,98.5,2.0
2024-03-15,Hat 2,2200,2156,98.0,86.0,94.0,93.0,98.6,72,32,15,0.7,98.6,2.2
2024-03-15,Hat 3,2000,1940,97.0,83.0,91.5,93.5,98.0,102,55,21,1.1,98.0,2.4
2024-04-20,Hat 1,2400,2304,96.0,83.0,92.5,92.0,98.0,90,48,22,1.0,98.0,2.1
2024-04-20,Hat 2,2200,2134,97.0,85.5,93.5,93.0,98.4,78,34,16,0.7,98.4,2.3
2024-04-20,Hat 3,2000,1920,96.0,82.5,91.0,93.0,98.0,108,60,23,1.2,98.0,2.5
2024-05-25,Hat 1,2400,2352,98.0,85.5,93.5,93.0,98.7,78,38,18,0.8,98.7,2.0
2024-05-25,Hat 2,2200,2178,99.0,87.0,94.5,93.5,98.8,66,30,14,0.6,98.8,2.2
2024-05-25,Hat 3,2000,1960,98.0,84.0,92.0,94.0,98.2,96,52,20,1.0,98.2,2.4
2024-06-30,Hat 1,2400,2376,99.0,86.5,94.0,93.5,98.8,72,36,17,0.7,98.8,2.0
2024-06-30,Hat 2,2200,2200,100.0,88.0,95.0,94.0,99.0,60,28,13,0.6,99.0,2.2
2024-06-30,Hat 3,2000,1980,99.0,85.0,92.5,94.5,98.5,90,48,19,1.0,98.5,2.3
2024-07-15,Hat 1,2400,2400,100.0,87.5,94.5,94.0,99.0,66,32,16,0.7,99.0,1.9
2024-07-15,Hat 2,2200,2222,101.0,89.0,95.5,94.5,99.2,54,25,12,0.5,99.2,2.1
2024-07-15,Hat 3,2000,2000,100.0,86.0,93.0,95.0,98.7,84,45,18,0.9,98.7,2.3
2024-08-20,Hat 1,2400,2376,99.0,86.0,94.0,93.5,98.7,72,35,17,0.7,98.7,2.0
2024-08-20,Hat 2,2200,2200,100.0,88.5,95.0,94.5,99.1,60,27,13,0.6,99.1,2.2
2024-08-20,Hat 3,2000,1980,99.0,85.5,92.5,94.5,98.6,90,46,19,1.0,98.6,2.4
2024-09-25,Hat 1,2400,2424,101.0,88.0,95.0,94.5,99.1,60,30,15,0.6,99.1,1.9
2024-09-25,Hat 2,2200,2244,102.0,90.0,96.0,95.0,99.3,48,22,11,0.5,99.3,2.1
2024-09-25,Hat 3,2000,2020,101.0,87.0,93.5,95.5,98.9,78,42,17,0.8,98.9,2.3
2024-10-30,Hat 1,2400,2424,101.0,88.5,95.0,95.0,99.2,60,28,15,0.6,99.2,1.9
2024-10-30,Hat 2,2200,2244,102.0,90.5,96.0,95.5,99.4,48,20,11,0.5,99.4,2.1
2024-10-30,Hat 3,2000,2020,101.0,87.5,93.5,96.0,99.0,78,40,17,0.8,99.0,2.2
2024-11-15,Hat 1,2400,2400,100.0,87.5,94.5,94.5,99.0,66,32,16,0.7,99.0,1.9
2024-11-15,Hat 2,2200,2222,101.0,89.5,95.5,95.0,99.3,54,24,12,0.5,99.3,2.1
2024-11-15,Hat 3,2000,2000,100.0,86.5,93.0,95.5,98.8,84,44,18,0.9,98.8,2.3
2024-12-20,Hat 1,2400,2448,102.0,89.5,95.5,95.5,99.3,54,26,14,0.6,99.3,1.8
2024-12-20,Hat 2,2200,2266,103.0,91.5,96.5,96.0,99.5,42,18,10,0.4,99.5,2.0
2024-12-20,Hat 3,2000,2040,102.0,88.5,94.0,96.5,99.2,72,38,16,0.8,99.2,2.2
