Tarih,Toplam_Gelir,Satilan_Malin_Maliyeti,Brut_Kar,Isletme_Giderleri,Personel_Giderleri,Pazarlama_Giderleri,Genel_Yonetim_Giderleri,Faaliyet_Kari,Faiz_Giderleri,Vergi_Oncesi_Kar,Vergi,Net_Kar
2024-01-31,2850000,1353750,1496250,685000,425000,180000,80000,811250,45000,766250,155000,611250
2024-02-29,3120000,1459200,1660800,720000,465000,195000,85000,940800,42000,898800,175000,723800
2024-03-31,3450000,1587000,1863000,795000,510000,210000,95000,1068000,40000,1028000,205000,823000
2024-04-30,3280000,1546080,1733920,750000,485000,200000,90000,983920,43000,940920,188000,752920
2024-05-31,3650000,1679750,1970250,820000,535000,220000,100000,1150250,38000,1112250,222000,890250
2024-06-30,3890000,1767050,2122950,865000,565000,235000,105000,1257950,35000,1222950,245000,977950
2024-07-31,4150000,1869500,2280500,920000,595000,250000,110000,1360500,33000,1327500,265000,1062500
2024-08-31,3950000,1795900,2154100,880000,575000,240000,108000,1274100,36000,1238100,248000,990100
2024-09-30,4320000,1944800,2375200,980000,625000,265000,118000,1395200,32000,1363200,273000,1090200
2024-10-31,4580000,2061400,2518600,1050000,665000,280000,125000,1468600,30000,1438600,288000,1150600
2024-11-30,4250000,1913500,2336500,960000,615000,260000,115000,1376500,34000,1342500,268000,1074500
2024-12-31,4650000,2093500,2556500,1120000,695000,295000,135000,1436500,28000,1408500,282000,1126500











