Ay,Toplam_Calisan,Yeni_Ise_Alinan,Ayrilan,Devir_Orani,Ise_Alim_Suresi_Gun,Ise_Alim_Maliyeti,Ortalama_Egitim_Saati,Calisanların eNPS,Devamsizlik_Orani,Kadin_Oran,Erkek_Oran,Ortalama_Maas
Ocak,125,8,3,2.4,45,25000,8,52,2.8,42.4,57.6,18500
Şubat,130,8,3,2.3,43,24500,9,54,2.6,43.1,56.9,18650
Mart,135,10,5,3.7,42,24000,10,56,2.5,43.7,56.3,18800
Nisan,140,8,3,2.1,44,24800,8,55,2.7,44.3,55.7,18950
Mayıs,145,10,5,3.4,41,23500,11,58,2.4,44.8,55.2,19100
Haziran,150,12,7,4.7,40,23000,12,60,2.3,45.3,54.7,19250
Temmuz,155,15,10,6.5,38,22500,13,62,2.2,45.8,54.2,19400
Ağustos,152,5,8,5.3,39,23200,10,59,2.5,46.1,53.9,19450
Eylül,157,12,7,4.5,37,22000,14,64,2.1,46.5,53.5,19600
Ekim,165,15,7,4.2,36,21500,15,66,2.0,47.0,53.0,19750
Kasım,170,13,8,4.7,38,22800,13,65,2.2,47.4,52.6,19850
Aralık,175,15,10,5.7,35,21000,16,68,1.9,47.7,52.3,20000










