Tarih,Satis_Kaynagi,Arac_Sayisi,Toplam_Satis_Degeri,Ortalama_Satis_Degeri,Servis_Randevu,Servis_Doluluk,Teknisyen_Verimlilik,Ortalama_Servis_Degeri,Tekrar_Musteri_Orani,LTV,Kampanya_ROI
2024-01-31,Showroom,18,3200000,177778,145,78,82,1250,65,185000,215
2024-01-31,Online,6,980000,163333,0,0,0,0,0,0,0
2024-01-31,Kurumsal,4,670000,167500,0,0,0,0,0,0,0
2024-02-29,Showroom,19,3400000,178947,152,80,83,1310,66,190000,220
2024-02-29,Online,7,1150000,164286,0,0,0,0,0,0,0
2024-02-29,Kurumsal,4,550000,175000,0,0,0,0,0,0,0
2024-03-31,Showroom,22,3900000,177273,165,82,85,1420,68,195000,228
2024-03-31,Online,8,1320000,165000,0,0,0,0,0,0,0
2024-03-31,Kurumsal,5,830000,166000,0,0,0,0,0,0,0
2024-04-30,Showroom,20,3580000,179000,158,81,84,1380,67,192000,223
2024-04-30,Online,7,1180000,168571,0,0,0,0,0,0,0
2024-04-30,Kurumsal,5,820000,164000,0,0,0,0,0,0,0
2024-05-31,Showroom,24,4320000,180000,178,84,86,1520,70,200000,235
2024-05-31,Online,9,1520000,168889,0,0,0,0,0,0,0
2024-05-31,Kurumsal,5,860000,172000,0,0,0,0,0,0,0
2024-06-30,Showroom,27,4860000,180000,192,86,88,1620,72,205000,245
2024-06-30,Online,10,1680000,168000,0,0,0,0,0,0,0
2024-06-30,Kurumsal,6,1040000,173333,0,0,0,0,0,0,0
2024-07-31,Showroom,29,5220000,180000,205,88,90,1720,74,210000,255
2024-07-31,Online,11,1850000,168182,0,0,0,0,0,0,0
2024-07-31,Kurumsal,6,1080000,180000,0,0,0,0,0,0,0
2024-08-31,Showroom,28,5040000,180000,198,87,89,1680,73,208000,250
2024-08-31,Online,10,1680000,168000,0,0,0,0,0,0,0
2024-08-31,Kurumsal,6,1020000,170000,0,0,0,0,0,0,0
2024-09-30,Showroom,30,5400000,180000,212,89,91,1780,75,215000,265
2024-09-30,Online,12,2040000,170000,0,0,0,0,0,0,0
2024-09-30,Kurumsal,6,1080000,180000,0,0,0,0,0,0,0
2024-10-31,Showroom,32,5760000,180000,225,90,92,1850,77,220000,275
2024-10-31,Online,13,2210000,170000,0,0,0,0,0,0,0
2024-10-31,Kurumsal,7,1260000,180000,0,0,0,0,0,0,0
2024-11-30,Showroom,31,5580000,180000,218,89,91,1810,76,218000,270
2024-11-30,Online,12,2040000,170000,0,0,0,0,0,0,0
2024-11-30,Kurumsal,7,1260000,180000,0,0,0,0,0,0,0
2024-12-31,Showroom,33,5940000,180000,238,92,94,1920,79,225000,285
2024-12-31,Online,14,2380000,170000,0,0,0,0,0,0,0
2024-12-31,Kurumsal,7,1260000,180000,0,0,0,0,0,0,0










