Tarih,Saat_Dilimi,Kategori,Satis_Adedi,Satis_Tutari,Ortalama_Fis,Odeme_Yontemi_Nakit,Odeme_Yontemi_Kart,Odeme_Yontemi_Online,En_Cok_Satan_Urun
2024-01-15,Kahvaltı (08:00-11:00),Ana Yemek,85,12750,150.00,15,55,15,Serpme Kahvaltı
2024-01-15,Öğle (12:00-15:00),Ana Yemek,195,29250,150.00,25,145,25,Izgara Tavuk
2024-01-15,Akşam (18:00-22:00),Ana Yemek,165,24750,150.00,20,125,20,Dana Bonfile
2024-01-31,Kahvaltı (08:00-11:00),İçecek,125,3750,30.00,35,75,15,Taze Sıkılmış Portakal
2024-01-31,Öğle (12:00-15:00),Tatlı,145,14500,100.00,15,110,20,Künefe
2024-01-31,Akşam (18:00-22:00),Ana Yemek,175,26250,150.00,22,133,20,Kuzu Şiş
2024-02-14,Kahvaltı (08:00-11:00),Ana Yemek,92,13800,150.00,18,60,14,Menemen
2024-02-14,Öğle (12:00-15:00),Ana Yemek,208,31200,150.00,28,155,25,Köfte
2024-02-14,Akşam (18:00-22:00),Ana Yemek,178,26700,150.00,23,135,20,Levrek Izgara
2024-02-29,Kahvaltı (08:00-11:00),Tatlı,98,9800,100.00,15,73,10,Sütlaç
2024-02-29,Öğle (12:00-15:00),Ana Yemek,202,30300,150.00,26,151,25,Tavuk Şinitzel
2024-02-29,Akşam (18:00-22:00),Ana Yemek,172,25800,150.00,21,131,20,Karides Güveç
2024-03-15,Kahvaltı (08:00-11:00),Ana Yemek,98,14700,150.00,19,64,15,Serpme Kahvaltı
2024-03-15,Öğle (12:00-15:00),Ana Yemek,221,33150,150.00,30,165,26,Izgara Tavuk
2024-03-15,Akşam (18:00-22:00),Ana Yemek,189,28350,150.00,25,144,20,Dana Bonfile
2024-03-31,Kahvaltı (08:00-11:00),İçecek,142,4260,30.00,40,85,17,Taze Sıkılmış Portakal
2024-03-31,Öğle (12:00-15:00),Tatlı,165,16500,100.00,18,125,22,Künefe
2024-03-31,Akşam (18:00-22:00),Ana Yemek,195,29250,150.00,25,148,22,Kuzu Şiş
2024-04-15,Kahvaltı (08:00-11:00),Ana Yemek,95,14250,150.00,19,62,14,Menemen
2024-04-15,Öğle (12:00-15:00),Ana Yemek,215,32250,150.00,29,161,25,Köfte
2024-04-15,Akşam (18:00-22:00),Ana Yemek,183,27450,150.00,24,139,20,Levrek Izgara
2024-04-30,Kahvaltı (08:00-11:00),Tatlı,105,10500,100.00,16,79,10,Sütlaç
2024-04-30,Öğle (12:00-15:00),Ana Yemek,218,32700,150.00,29,164,25,Tavuk Şinitzel
2024-04-30,Akşam (18:00-22:00),Ana Yemek,188,28200,150.00,24,143,21,Karides Güveç
2024-05-15,Kahvaltı (08:00-11:00),Ana Yemek,107,16050,150.00,21,70,16,Serpme Kahvaltı
2024-05-15,Öğle (12:00-15:00),Ana Yemek,240,36000,150.00,32,180,28,Izgara Tavuk
2024-05-15,Akşam (18:00-22:00),Ana Yemek,205,30750,150.00,27,156,22,Dana Bonfile
2024-05-31,Kahvaltı (08:00-11:00),İçecek,155,4650,30.00,43,94,18,Taze Sıkılmış Portakal
2024-05-31,Öğle (12:00-15:00),Tatlı,180,18000,100.00,20,136,24,Künefe
2024-05-31,Akşam (18:00-22:00),Ana Yemek,212,31800,150.00,28,161,23,Kuzu Şiş
2024-06-15,Kahvaltı (08:00-11:00),Ana Yemek,116,17400,150.00,23,76,17,Menemen
2024-06-15,Öğle (12:00-15:00),Ana Yemek,261,39150,150.00,35,196,30,Köfte
2024-06-15,Akşam (18:00-22:00),Ana Yemek,223,33450,150.00,30,169,24,Levrek Izgara
2024-06-30,Kahvaltı (08:00-11:00),Tatlı,119,11900,100.00,18,89,12,Sütlaç
2024-06-30,Öğle (12:00-15:00),Ana Yemek,268,40200,150.00,36,201,31,Tavuk Şinitzel
2024-06-30,Akşam (18:00-22:00),Ana Yemek,229,34350,150.00,30,174,25,Karides Güveç
2024-07-15,Kahvaltı (08:00-11:00),Ana Yemek,123,18450,150.00,24,81,18,Serpme Kahvaltı
2024-07-15,Öğle (12:00-15:00),Ana Yemek,277,41550,150.00,37,208,32,Izgara Tavuk
2024-07-15,Akşam (18:00-22:00),Ana Yemek,237,35550,150.00,32,180,25,Dana Bonfile
2024-07-31,Kahvaltı (08:00-11:00),İçecek,164,4920,30.00,46,99,19,Taze Sıkılmış Portakal
2024-07-31,Öğle (12:00-15:00),Tatlı,191,19100,100.00,21,145,25,Künefe
2024-07-31,Akşam (18:00-22:00),Ana Yemek,225,33750,150.00,30,171,24,Kuzu Şiş
2024-08-15,Kahvaltı (08:00-11:00),Ana Yemek,120,18000,150.00,24,79,17,Menemen
2024-08-15,Öğle (12:00-15:00),Ana Yemek,271,40650,150.00,36,203,32,Köfte
2024-08-15,Akşam (18:00-22:00),Ana Yemek,232,34800,150.00,31,176,25,Levrek Izgara
2024-08-31,Kahvaltı (08:00-11:00),Tatlı,122,12200,100.00,18,91,13,Sütlaç
2024-08-31,Öğle (12:00-15:00),Ana Yemek,274,41100,150.00,37,205,32,Tavuk Şinitzel
2024-08-31,Akşam (18:00-22:00),Ana Yemek,235,35250,150.00,31,179,25,Karides Güveç
2024-09-15,Kahvaltı (08:00-11:00),Ana Yemek,128,19200,150.00,25,84,19,Serpme Kahvaltı
2024-09-15,Öğle (12:00-15:00),Ana Yemek,288,43200,150.00,39,216,33,Izgara Tavuk
2024-09-15,Akşam (18:00-22:00),Ana Yemek,246,36900,150.00,33,187,26,Dana Bonfile
2024-09-30,Kahvaltı (08:00-11:00),İçecek,173,5190,30.00,48,104,21,Taze Sıkılmış Portakal
2024-09-30,Öğle (12:00-15:00),Tatlı,199,19900,100.00,22,151,26,Künefe
2024-09-30,Akşam (18:00-22:00),Ana Yemek,235,35250,150.00,31,179,25,Kuzu Şiş
2024-10-15,Kahvaltı (08:00-11:00),Ana Yemek,132,19800,150.00,26,87,19,Menemen
2024-10-15,Öğle (12:00-15:00),Ana Yemek,298,44700,150.00,40,223,35,Köfte
2024-10-15,Akşam (18:00-22:00),Ana Yemek,255,38250,150.00,34,194,27,Levrek Izgara
2024-10-31,Kahvaltı (08:00-11:00),Tatlı,137,13700,100.00,20,102,15,Sütlaç
2024-10-31,Öğle (12:00-15:00),Ana Yemek,308,46200,150.00,41,231,36,Tavuk Şinitzel
2024-10-31,Akşam (18:00-22:00),Ana Yemek,263,39450,150.00,35,200,28,Karides Güveç
2024-11-15,Kahvaltı (08:00-11:00),Ana Yemek,134,20100,150.00,27,88,19,Serpme Kahvaltı
2024-11-15,Öğle (12:00-15:00),Ana Yemek,301,45150,150.00,40,226,35,Izgara Tavuk
2024-11-15,Akşam (18:00-22:00),Ana Yemek,258,38700,150.00,35,196,27,Dana Bonfile
2024-11-30,Kahvaltı (08:00-11:00),İçecek,178,5340,30.00,50,107,21,Taze Sıkılmış Portakal
2024-11-30,Öğle (12:00-15:00),Tatlı,206,20600,100.00,23,156,27,Künefe
2024-11-30,Akşam (18:00-22:00),Ana Yemek,245,36750,150.00,33,186,26,Kuzu Şiş
2024-12-15,Kahvaltı (08:00-11:00),Ana Yemek,143,21450,150.00,29,94,20,Menemen
2024-12-15,Öğle (12:00-15:00),Ana Yemek,323,48450,150.00,43,242,38,Köfte
2024-12-15,Akşam (18:00-22:00),Ana Yemek,276,41400,150.00,37,210,29,Levrek Izgara
2024-12-31,Kahvaltı (08:00-11:00),Tatlı,150,15000,100.00,22,112,16,Sütlaç
2024-12-31,Öğle (12:00-15:00),Ana Yemek,338,50700,150.00,45,253,40,Tavuk Şinitzel
2024-12-31,Akşam (18:00-22:00),Ana Yemek,288,43200,150.00,39,219,30,Karides Güveç















