Ay,Kaynak,Lead_Sayisi,MQL,SQL,Firsat,Kapanan,Lead_MQL_Oran,MQL_SQL_Oran,SQL_Firsat_Oran,Firsat_Kapanma_Oran,Genel_Donusum_Oran,Ortalama_Anlasma_Degeri,Toplam_Gelir
Ocak,Google Ads,1250,625,312,156,57,50.0,49.9,50.0,36.5,4.6,21500,1225500
Ocak,Organik,850,510,280,154,62,60.0,54.9,55.0,40.3,7.3,23000,1426000
Ocak,LinkedIn,620,310,186,105,42,50.0,60.0,56.5,40.0,6.8,24500,1029000
Ocak,Referans,480,360,252,168,68,75.0,70.0,66.7,40.5,14.2,25000,1700000
Şubat,Google Ads,1320,660,330,165,62,50.0,50.0,50.0,37.6,4.7,21800,1351600
Şubat,Organik,920,552,304,167,68,60.0,55.1,54.9,40.7,7.4,23200,1577600
Şubat,LinkedIn,680,340,204,112,46,50.0,60.0,54.9,41.1,6.8,24700,1136200
Şubat,Referans,520,390,273,182,75,75.0,70.0,66.7,41.2,14.4,25300,1897500
Mart,Google Ads,1450,725,363,182,69,50.0,50.1,50.1,37.9,4.8,22000,1518000
Mart,Organik,980,588,324,178,74,60.0,55.1,54.9,41.6,7.6,23500,1739000
Mart,LinkedIn,720,360,216,119,49,50.0,60.0,55.1,41.2,6.8,25000,1225000
Mart,Referans,560,420,294,196,82,75.0,70.0,66.7,41.8,14.6,25500,2091000
Nisan,Google Ads,1380,690,345,173,65,50.0,50.0,50.1,37.6,4.7,22200,1443000
Nisan,Organik,950,570,314,173,71,60.0,55.1,55.1,41.0,7.5,23600,1675600
Nisan,LinkedIn,700,350,210,116,47,50.0,60.0,55.2,40.5,6.7,25100,1179700
Nisan,Referans,540,405,284,189,78,75.0,70.1,66.5,41.3,14.4,25400,1981200
Mayıs,Google Ads,1520,760,380,190,73,50.0,50.0,50.0,38.4,4.8,22400,1635200
Mayıs,Organik,1050,630,347,191,80,60.0,55.1,55.0,41.9,7.6,23800,1904000
Mayıs,LinkedIn,760,380,228,126,52,50.0,60.0,55.3,41.3,6.8,25300,1315600
Mayıs,Referans,580,435,305,203,85,75.0,70.1,66.6,41.9,14.7,25600,2176000
Haziran,Google Ads,1620,810,405,203,79,50.0,50.0,50.1,38.9,4.9,22600,1785400
Haziran,Organik,1120,672,370,204,86,60.0,55.1,55.1,42.2,7.7,24000,2064000
Haziran,LinkedIn,820,410,246,136,56,50.0,60.0,55.3,41.2,6.8,25500,1428000
Haziran,Referans,620,465,326,217,92,75.0,70.1,66.6,42.4,14.8,25800,2373600
Temmuz,Google Ads,1720,860,430,215,85,50.0,50.0,50.0,39.5,4.9,22800,1938000
Temmuz,Organik,1180,708,390,215,92,60.0,55.1,55.1,42.8,7.8,24200,2226400
Temmuz,LinkedIn,880,440,264,146,61,50.0,60.0,55.3,41.8,6.9,25700,1567700
Temmuz,Referans,660,495,347,231,99,75.0,70.1,66.6,42.9,15.0,26000,2574000
Ağustos,Google Ads,1650,825,413,207,82,50.0,50.1,50.1,39.6,5.0,22900,1877800
Ağustos,Organik,1140,684,377,208,88,60.0,55.1,55.2,42.3,7.7,24300,2138400
Ağustos,LinkedIn,850,425,255,141,59,50.0,60.0,55.3,41.8,6.9,25800,1522200
Ağustos,Referans,640,480,336,224,95,75.0,70.0,66.7,42.4,14.8,26100,2479500
Eylül,Google Ads,1780,890,445,223,89,50.0,50.0,50.1,39.9,5.0,23000,2047000
Eylül,Organik,1220,732,403,222,95,60.0,55.1,55.1,42.8,7.8,24500,2327500
Eylül,LinkedIn,920,460,276,153,64,50.0,60.0,55.4,41.8,7.0,26000,1664000
Eylül,Referans,680,510,357,238,102,75.0,70.0,66.7,42.9,15.0,26200,2672400
Ekim,Google Ads,1850,925,463,232,93,50.0,50.1,50.1,40.1,5.0,23200,2157600
Ekim,Organik,1280,768,423,233,100,60.0,55.1,55.1,42.9,7.8,24700,2470000
Ekim,LinkedIn,960,480,288,160,67,50.0,60.0,55.6,41.9,7.0,26200,1755400
Ekim,Referans,720,540,378,252,108,75.0,70.0,66.7,42.9,15.0,26400,2851200
Kasım,Google Ads,1800,900,450,225,90,50.0,50.0,50.0,40.0,5.0,23300,2097000
Kasım,Organik,1250,750,413,227,97,60.0,55.1,55.0,42.7,7.8,24800,2405600
Kasım,LinkedIn,940,470,282,156,65,50.0,60.0,55.3,41.7,6.9,26300,1709500
Kasım,Referans,700,525,368,245,105,75.0,70.1,66.6,42.9,15.0,26500,2782500
Aralık,Google Ads,1920,960,480,240,97,50.0,50.0,50.0,40.4,5.1,23500,2279500
Aralık,Organik,1320,792,436,240,104,60.0,55.1,55.0,43.3,7.9,25000,2600000
Aralık,LinkedIn,980,490,294,163,68,50.0,60.0,55.4,41.7,6.9,26500,1802000
Aralık,Referans,740,555,389,259,112,75.0,70.1,66.6,43.2,15.1,26700,2990400








